koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
1,-0.432727176,-0.453039082,-0.453041878,-0.21905927,-0.457661745,-0.331997171,-0.091872931,-0.107193972,-0.033250641,-0.493444279,0.528526247,0.035578493,-0.051353024,-0.303729594,0.101520402,-0.01318764,-0.253844741,-0.271961027,-0.314759043,0.661048345,-0.137905365,1.239110981,0.470683715,0.421467851,0.126403246,0.230778159,0.331967607,-0.119615293,-0.150840536,0.735008572,1.334506632,-1.039959541,-1.070115197,-1.034494163,-1.106458233,-1.127717841,-0.970303272,-0.92963482,-0.896878248,-0.489719266,0.727896461,1.329813591,0.032764253,0.026781812,0.001492009,0.008514603,0.099873691,-0.032523312,-0.541948166,0.069813333,-0.013263418,-0.560067257
0,-0.363957395,0.125238891,0.125243811,0.521851469,-0.312622763,-0.140697641,0.406363098,-0.117303469,0.012454917,-0.320169336,0.134394762,-0.457643444,-0.053672544,-0.236370394,0.237991574,-0.178206767,-0.152663679,-0.146565168,0.318487303,-0.453551324,-0.580221137,-0.347410005,0.470683715,-0.423440709,0.080449645,0.560676055,-0.230877185,-0.146598883,-0.250961682,1.036281938,1.082981648,0.874667786,0.780139163,0.86844323,0.907706185,0.955132869,0.971726417,0.953544731,1.01077451,3.284548086,1.02770496,1.078098017,0.02029078,0.006220148,0.002171989,0.009904562,0.01294776,0.016819515,-0.625829156,0.064925531,0.045375395,-0.577905295
0,-0.296176076,0.340387397,0.340384852,0.089856639,-0.146205002,0.462031308,0.051960886,-0.111250288,-0.018521424,-0.171889219,0.428201869,-0.517526902,-0.053781314,-0.164154938,0.552335285,-0.561386776,0.186104833,0.183659458,2.196508706,0.661048345,-0.651060772,-0.347410005,0.470683715,-0.711384047,0.46984595,0.43051226,-0.301232784,-0.131246151,-0.009002247,0.769915968,1.109011555,0.781772905,0.651767533,0.778943375,0.828570145,0.874682861,0.935170564,0.978354012,0.93322765,-0.528058325,0.762592984,1.104126174,0.012110403,-0.003416025,-0.005219105,-0.009554865,0.010689943,0.021718802,-0.627948892,0.002888038,-0.038895953,-0.562183635
1,-0.383744972,0.163184596,0.163182189,-0.116696602,-0.363243479,-0.319589305,-0.085042653,-0.103942378,-0.032849742,-0.39414051,0.480752733,-0.57087762,-0.053858453,-0.237053411,-1.982348391,1.83651829,-0.248384115,-0.265512412,-0.274204684,-0.453551324,-0.497286929,-0.347410005,0.470683715,-0.617526134,-1.055088029,0.625757953,-0.582655181,-0.170170755,-0.979621128,-0.845953528,1.118560811,0.754117177,0.856769166,0.741296611,0.683994686,0.642986838,0.533056182,0.402313499,0.395052441,-0.370442194,-0.84554576,1.113717949,0.01525013,0.016248173,0.007197934,0.010738538,-0.012640826,0.017169464,-0.611899461,0.025447126,0.153172495,-0.518949069
1,-0.412303816,0.1372146,0.137215267,-0.155996555,-0.60821672,-0.312951793,-0.083106703,0.121413301,-0.03273345,-0.452912128,0.514791362,-0.539302705,-0.05381371,-0.177904083,-2.956047202,2.665343175,-0.25153335,-0.26959429,-0.298360013,-0.453551324,-0.374613415,-0.347410005,0.470683715,1.16146537,-1.440856419,0.771631172,1.211412596,-0.173892629,-0.74322398,-1.777917621,1.157436946,1.095913611,1.33292312,1.109240459,0.970862833,0.912494365,0.78361609,0.596136014,0.548595224,2.752061157,-1.773081089,1.152583439,0.003716439,-0.002291032,-0.000340983,0.008051283,0.050954336,0.023468548,-0.596455669,-0.061781348,-0.051887786,-0.532856692
1,-0.430686344,-0.420036145,-0.420030155,-0.16574538,-0.462229676,-0.329513457,-0.089811723,-0.105541526,-0.033085385,-0.495133118,0.477766889,-0.169114055,-0.052704102,-0.299481224,-1.066918171,1.125164649,-0.254251421,-0.275920927,-0.338803567,1.775648014,-0.189739245,1.239110981,0.470683715,1.017212689,-0.657226587,0.304836871,1.035523598,-0.136984041,-0.548543975,0.046126925,1.162399064,0.834956997,0.776209419,0.828665517,0.849115078,0.906862864,0.869674661,0.870588694,0.860333601,1.448533155,0.042293437,1.15759788,0.025929473,0.023832393,0.000989414,0.007773292,-0.076988594,0.14245125,-0.502581637,-0.080580588,0.151767972,-0.496575938
0,2.937823731,0.054671484,0.054670269,0.062895043,0.142130542,-0.066828551,-0.02088173,-0.049477677,-0.020905397,2.970027977,0.541663963,-0.954131752,-0.054077031,1.889522028,-0.467365045,0.613325659,-0.259437007,-0.280779957,0.730568346,-0.453551324,-0.746089551,-0.347410005,-2.208727403,-0.711946071,-0.22429529,-0.500832141,2.020501986,-0.033081712,0.207926901,0.024573718,-1.696701572,-1.308007367,-1.224685119,-1.331406381,-1.440503636,-1.505832879,-1.386887679,-1.390157114,-1.398606433,-0.519538534,0.020821584,-1.703259434,0.017044259,0.010644277,-0.008175543,0.014537759,0.009937338,0.032917174,-0.618561489,0.010031749,0.089617853,-0.57427722
1,-0.42139295,0.139397406,0.139396175,-0.018294395,-0.523523262,-0.323389817,-0.085829065,-0.108329385,-0.032754872,-0.461694094,0.359527443,-0.27908186,-0.05317502,-0.288348037,-1.066918171,1.125164649,-0.254687382,-0.27559324,-0.339579197,-0.453551324,-0.386707987,-0.347410005,-1.940786291,-0.644503259,-0.470993571,0.556187648,1.105879198,-0.146753961,-0.270429682,1.189596195,1.180792983,1.150515946,1.161979266,1.142625326,1.139787843,1.190046893,1.124042471,1.098523971,1.069710124,3.723317315,1.180302823,1.175957543,0.028492515,0.000658387,0.002467633,0.009070587,-0.043121348,0.079460408,-0.563145529,-0.012903324,0.067496624,-0.590301219
1,-0.42769416,0.141821665,0.141828122,-0.105424523,-0.422497298,-0.325359659,-0.087259663,-0.11788773,-0.032901767,-0.480609098,0.408495295,-0.175646796,-0.052732947,-0.305423478,0.184323136,-0.112944965,-0.2517358,-0.269478128,-0.302348966,-0.453551324,-0.208745001,-0.347410005,0.470683715,0.093995531,-0.102155455,0.583118089,-0.019810388,-0.149235211,-0.278773111,0.443906619,1.563732188,0.792409723,0.735602067,0.793860018,0.80345967,0.85859286,0.875005723,0.895397976,0.965797331,-0.528058325,0.438122215,1.559146012,0.003289265,0.009506644,0.012962988,0.009533906,0.010689943,-0.002777636,-0.609779725,0.004015993,0.0878622,-0.575788918
0,-0.452118587,0.127723808,0.127722828,0.027403225,-0.617783518,-0.309740094,-0.079694187,-0.125914762,-0.03221932,-0.566064382,-0.089543581,0.303420869,-0.048328329,-0.346199631,0.237991574,-0.178206767,-0.248187802,-0.252870912,-0.170159484,-0.453551324,0.777826505,-0.347410005,0.470683715,1.16146537,-0.017504084,0.580873886,-0.230877185,-0.149235211,-0.284335397,0.738483945,1.574070891,0.912251212,0.817471729,0.907510627,0.945752359,1.017079376,0.985434862,1.010916195,1.006121698,-0.528058325,0.73139053,1.569538332,0.050235658,0.034913781,-0.023549021,-0.004921668,0.385111163,0.307277288,-0.23852307,0.339394436,0.290113435,-0.277682053
